,artist,song,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,genres
42,pussycat dolls,i hate this part,0.755999999999999,0.612,5,0.0317,0.0659,0.0,0.274,0.452,4,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
43,ennio morricone,the good the bad and the ugly,0.134,0.474,9,0.0518,0.826,0.58,0.195,0.133,4,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']"
44,robin thicke,blurred lines,0.853,0.599,7,0.0411,0.00334,7.93e-06,0.0759,0.843,4,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'r&b', 'urban contemporary']"
45,the moody blues,tuesday afternoon,0.503,0.322,0,0.0288,0.0951,0.0069,0.24,0.299,4,"['album rock', 'art rock', 'british invasion', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'hard rock', 'mellow gold', 'progressive rock', 'psychedelic rock', 'rock', 'singer-songwriter', 'soft rock', 'symphonic rock']"
46,big star,september gurls,0.373,0.85,4,0.0342,0.000199,0.0077,0.124,0.629,4,"['alternative rock', 'art rock', 'baroque pop', 'country rock', 'dance rock', 'folk', 'folk rock', 'garage rock', 'gbvfi', 'indie rock', 'jangle pop', 'lo-fi', 'melancholia', 'noise pop', 'power pop', 'protopunk', 'psychedelic rock', 'pub rock', 'roots rock', 'slow core']"
47,traveling wilburys,handle with care,0.675999999999999,0.770999999999999,7,0.0283,0.109,0.0,0.247,0.708,4,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
48,jimi hendrix,angel,0.409,0.716,1,0.141,0.0205,0.805999999999999,0.157,0.474,4,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
49,bruno mars,locked out of heaven,0.726,0.698,5,0.0431,0.049,0.0,0.309,0.867,4,"['dance pop', 'pop']"
50,man man,gold teeth,0.278,0.541,0,0.0311,0.497,0.000329,0.161,0.318,4,"['freak folk', 'philly indie', 'stomp and holler']"
51,the white stripes,fell in love with a girl,0.178,0.981,4,0.162,0.704,7.45e-05,0.854,0.369,4,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
52,lana del rey,florida kilos,0.266,0.513,0,0.0388,0.28,5.98e-05,0.11,0.579,4,"['art pop', 'pop']"
53,the white stripes,dead leaves and the dirty ground,0.363,0.611,11,0.033,0.471,3.45e-06,0.0735,0.46,4,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
54,alanis morissette,you oughta know,0.665,0.834,4,0.0576,0.21,0.0,0.452,0.411,4,"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'pop rock', 'singer-songwriter']"
55,sam smith,leave your lover,0.415,0.264,4,0.0475,0.948,6.31e-06,0.106,0.357,5,"['pop', 'post-teen pop', 'uk pop']"
56,calvin harris,we'll be coming back,0.596,0.952,7,0.0873,0.00131,0.0,0.598,0.571,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']"
57,carrie underwood,before he cheats,0.519,0.749,6,0.0405,0.271,0.0,0.119,0.29,4,"['contemporary country', 'country', 'country dawn', 'country road', 'dance pop', 'oklahoma country', 'pop', 'post-teen pop']"
58,rush,by-tor and the snow dog,0.317,0.698,9,0.0824,0.00169,0.283,0.0953,0.334,4,"['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock']"
59,the quiet revolution,parallel me,0.617,0.138,2,0.0339,0.947,0.000441,0.0902,0.494,4,[]
60,nobuo uematsu,terra,0.333,0.306,5,0.0274,0.774,0.968,0.0816,0.189,4,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'scorecore', 'video game music']"
61,weird al yankovic,hardware store,0.707,0.867,8,0.0703,0.185,0.000338,0.329,0.684,4,"['antiviral pop', 'comedy rock', 'comic', 'parody']"
62,absynthe minded,end of the line,0.45,0.827,9,0.0289,0.0633,0.0,0.219,0.887,4,['belgian rock']
63,foo fighters,congregation,0.405,0.91,2,0.0428,5.61e-05,2.63e-05,0.0652,0.575,4,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
64,magic,let your hair down,0.649,0.592,10,0.0497,0.0934,0.000529,0.182,0.466,4,"['pop', 'reggae fusion']"
65,radical face,welcome home,0.587,0.497,6,0.0307,0.723,0.782,0.142,0.401,3,"['chamber pop', 'indie folk', 'indie pop', 'jacksonville indie', 'stomp and holler']"
66,deadmau5,october,0.67,0.736,10,0.0446,0.285,0.899,0.0959,0.104,4,"['big room', 'canadian electronic', 'edm', 'electro house', 'progressive house']"
67,electric light orchestra,do ya,0.494,0.571,2,0.0332,0.0394,0.000518,0.602,0.712,4,"['album rock', 'art rock', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
68,hixxy,sacrifice,0.46,0.92,2,0.0553,0.02,2.58e-05,0.295,0.303,4,"['bouncy house', 'happy hardcore', 'hardcore techno']"
69,nick jonas,levels,0.432,0.655999999999999,5,0.428,0.0488,0.0,0.256,0.66,4,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
70,lady gaga,again again,0.451,0.34,7,0.031,0.763,2.49e-06,0.135,0.221,4,"['dance pop', 'pop']"
71,shoji meguro,persona 4 - reach out to the truth,0.5,0.0862,2,0.0396,0.981,0.866,0.0986,0.645999999999999,4,[]
72,bee gees,to love somebody,0.423,0.384,9,0.0315,0.729,4.11e-06,0.27,0.521,4,"['adult standards', 'disco', 'mellow gold', 'soft rock']"
73,duran duran,hungry like the wolf,0.691,0.812,0,0.0558,0.0433,1.16e-06,0.299,0.685,4,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']"
74,big shake,big shake,0.797,0.847,8,0.216,0.2,1.24e-06,0.166999999999999,0.565,4,"['swing', 'traditional swing']"
75,a perfect circle,the nurse who loved me,0.188,0.192,1,0.0342,0.971,0.0195,0.183,0.131,3,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']"
76,sufjan stevens,casimir pulaski day,0.685999999999999,0.172,8,0.0409,0.909,0.00154,0.286,0.563,4,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']"
77,ween,happy colored marbles,0.687,0.472,0,0.026,0.494,0.00361,0.0979,0.262,4,"['alternative rock', 'lo-fi']"
78,tim minchin,not perfect,0.489,0.403,9,0.0436,0.839,2.55e-06,0.692,0.347,4,"['australian comedy', 'comic']"
79,billy joel,she's always a woman,0.292,0.324,3,0.0346,0.797,0.000473,0.12,0.384,3,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
80,creedence clearwater revival,have you ever seen the rain,0.743,0.47,0,0.029,0.0936,3.15e-05,0.186,0.89,4,"['album rock', 'classic rock', 'country rock', 'rock', 'roots rock', 'southern rock']"
81,the beatles,when i'm sixty-four,0.704,0.241,1,0.0476,0.625,2.8e-05,0.0868,0.660999999999999,4,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
82,scott joplin,the entertainer,0.466,0.15,5,0.062,0.992,0.877,0.0889,0.795999999999999,4,"['american modern classical', 'post-romantic era', 'ragtime', 'stride', 'tin pan alley']"
83,they might be giants,taste the fame,0.677,0.625,0,0.0356,0.537,0.0,0.0976,0.711,3,"['comic', 'geek rock', 'permanent wave', 'zolo']"
84,weird al yankovic,since you've been gone,0.726,0.39,9,0.102,0.561,0.0,0.326,0.879,3,"['antiviral pop', 'comedy rock', 'comic', 'parody']"
85,disney,a whole new world,0.459,0.0641,7,0.0843,0.995,0.942,0.0791,0.149,4,"['calming instrumental', 'piano cover']"
86,the head and the heart,shake,0.48,0.79,4,0.0353,0.472,0.713,0.155,0.446,4,"['folk-pop', 'indie folk', 'indie pop', 'neo mellow', 'new americana', 'seattle indie', 'stomp and holler']"
87,bob marley,no woman no cry,0.655,0.675,1,0.0599,0.272,0.0236,0.727,0.587,4,['reggae']
88,soundprank,boundless energy,0.34,0.9,10,0.0613,0.00815,0.785,0.109,0.425,4,"['progressive house', 'progressive trance', 'progressive trance house']"
89,john legend,all of me,0.422,0.264,8,0.0322,0.922,0.0,0.132,0.331,4,"['neo mellow', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
90,jessica lea mayfield,bible days,0.454,0.405,7,0.0314,0.466,0.000667,0.0952,0.197,4,['stomp and holler']
91,tom jones,delilah,0.528,0.482,9,0.027,0.614,0.0,0.548999999999999,0.787999999999999,1,"['adult standards', 'british invasion', 'mellow gold']"
92,black lace,hokey cokey,0.473,0.532999999999999,2,0.132,0.135,0.0,0.0504,0.818,4,['europop']
93,the white stripes,little ghost,0.601,0.726,9,0.0399,0.65,0.0,0.281,0.515,4,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
94,jean jacques perrey,brazilian flower,0.74,0.868,0,0.0385,0.449,0.814,0.0619,0.982,4,"['exotica', 'lounge', 'moog', 'space age pop', 'vintage french electronic']"
95,creedence clearwater revival,hello mary lou,0.648,0.54,9,0.0326,0.0355,4.12e-06,0.0386,0.963,4,"['album rock', 'classic rock', 'country rock', 'rock', 'roots rock', 'southern rock']"
96,louis armstrong,when the saints go marching in,0.531,0.362,7,0.0775,0.85,0.000101,0.121,0.928,4,"['adult standards', 'dixieland', 'jazz trumpet', 'new orleans jazz', 'swing', 'vocal jazz']"
97,blue swede,hooked on a feeling,0.547,0.82,8,0.0805,0.261,0.0,0.3,0.933,4,['classic swedish pop']
98,michael kiwanuka,bones,0.64,0.468,0,0.0372,0.625,0.0,0.289,0.501,4,"['british soul', 'neo soul', 'soul']"
99,u2,gone,0.333,0.58,8,0.0347,0.0101,0.168,0.314,0.45,4,"['irish rock', 'permanent wave', 'rock']"
100,nicki minaj,the night is still young,0.655999999999999,0.692,1,0.0563,0.00212,0.00305,0.128,0.693,4,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop', 'rap']"
101,they might be giants,everything right is wrong again,0.432,0.716,9,0.051,0.163,0.0136,0.108,0.743,4,"['comic', 'geek rock', 'permanent wave', 'zolo']"
102,simon and garfunkel,america,0.259,0.241,2,0.042,0.553999999999999,6.62e-06,0.0849,0.275,3,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']"
103,bela fleck,big country,0.279,0.528,4,0.0361,0.845,0.865,0.115,0.239,4,"['jam band', 'jazz fusion', 'progressive bluegrass', 'progressive jazz fusion']"
104,stevie wonder,for once in my life,0.524,0.519,6,0.043,0.195,0.0,0.523,0.847,4,"['adult standards', 'funk', 'motown', 'quiet storm', 'soul']"
105,fka twigs,water me,0.476,0.452,10,0.0984,0.655,0.04,0.141,0.197,4,"['afrofuturism', 'art pop', 'dance pop', 'electropop', 'escape room', 'indie r&b', 'pop', 'trip hop']"
106,brandi carlile,closer to you,0.566,0.795999999999999,11,0.0277,0.224,0.00283,0.113,0.697,4,"['acoustic pop', 'folk', 'indie folk', 'lilith', 'modern folk rock', 'neo mellow', 'new americana', 'pop rock', 'singer-songwriter', 'stomp and holler']"
107,dooley wilson,as time goes by,0.427,0.24,1,0.035,0.968,1.55e-05,0.127,0.305,4,[]
108,james taylor,mexico,0.774,0.497,11,0.0293,0.279,7.8e-06,0.119,0.769,4,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
109,britt nicole,gold,0.65,0.819,8,0.031,0.0266,0.0,0.348,0.895,4,"['ccm', 'cedm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
110,the gaslight anthem,blue dahlia,0.234,0.828,8,0.0412,0.00119,0.0,0.158,0.404,4,"['heartland rock', 'new jersey indie', 'new jersey punk', 'skate punk']"
111,commodores,sail on,0.481,0.317,1,0.0455,0.413,1.1e-05,0.0786,0.435,4,"['adult standards', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
112,luis bacalov,django,0.459,0.569,2,0.0295,0.57,0.0,0.0914,0.468,3,"['classic soundtrack', 'italian soundtrack']"
113,the beatles,with a little help from my friends,0.705,0.515,4,0.0337,0.365,0.0,0.389,0.802999999999999,4,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
114,scorpions,wind of change,0.452,0.524,0,0.0351,0.315,0.0,0.103,0.246,4,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']"
115,prototyperaptor,drive hard,0.701,0.777,8,0.0634,0.00386,0.739,0.149,0.0684,4,"['catstep', 'complextro', 'electro house', 'electro swing', 'gamecore']"
116,tristam,my friend,0.342,0.592,10,0.0483,0.0159,7.28e-05,0.282,0.117,4,"['brostep', 'catstep', 'chillstep', 'deep dubstep', 'edm', 'electro house']"
117,the downtown fiction,i just wanna run,0.669,0.667,4,0.0511,0.00769,0.0,0.0983,0.69,4,"['alternative pop rock', 'neon pop punk', 'pixie', 'pop emo', 'pop punk']"
118,say anything,alive with the glory of love,0.338,0.93,9,0.131,0.0111,0.0,0.172,0.589,4,"['dreamo', 'emo', 'modern rock', 'neon pop punk', 'pop punk', 'screamo']"
119,bomfunk mc's,freestyler,0.847,0.96,4,0.105,0.0237,0.0253,0.0629,0.922,4,"['bubblegum dance', 'eurodance', 'europop']"
120,foo fighters,walk,0.231,0.866,9,0.0517,3.62e-05,0.000552,0.29,0.191,4,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
121,muse,knights of cydonia,0.366,0.963,11,0.142,0.000273,0.0122,0.115,0.211,4,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']"
122,plain white t's,rhythm of love,0.531,0.548999999999999,8,0.0378,0.363,0.0,0.118,0.680999999999999,4,"['neo mellow', 'pop punk', 'pop rock']"
123,the beatles,a hard day's night,0.59,0.805,0,0.0371,0.136999999999999,0.0,0.0996,0.797,4,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
124,van morrison,brown eyed girl,0.491,0.583,7,0.0376,0.182,0.0,0.407,0.907,4,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
125,woody guthrie,this land is your land,0.497,0.0919,3,0.0704,0.968,0.00214,0.133,0.547999999999999,4,"['american folk revival', 'appalachian folk', 'folk', 'old-time', 'singer-songwriter', 'traditional blues', 'traditional folk']"
126,muse,madness,0.502,0.417,10,0.0718,0.127,0.00419,0.106,0.218,4,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']"
127,queen,crazy little thing called love,0.599,0.762,0,0.0423,0.714,4.43e-06,0.35,0.715,4,"['glam rock', 'rock']"
128,johnny cash,hey porter,0.817,0.51,0,0.0393,0.812,0.000227,0.108,0.922,4,"['arkansas country', 'outlaw country']"
129,vanessa carlton,a thousand miles,0.56,0.825,11,0.0379,0.322999999999999,0.0,0.161,0.268,4,"['dance pop', 'lilith', 'neo mellow', 'piano rock', 'pop rock']"
130,queen,i want to break free,0.795,0.433,4,0.0324,0.0853,0.000284,0.0762,0.6,4,"['glam rock', 'rock']"
131,u2,i still haven't found what i'm looking for,0.564,0.774,1,0.0368,0.0135,0.00191,0.0861,0.657,4,"['irish rock', 'permanent wave', 'rock']"
132,steve earle,copperhead road,0.372,0.588,7,0.0411,0.0213,0.000103,0.0525,0.706,4,"['alternative country', 'country rock', 'folk', 'heartland rock', 'new americana', 'outlaw country', 'roots rock', 'singer-songwriter', 'texas country', 'traditional folk']"
133,the beatles,paperback writer,0.472,0.856,7,0.0562,0.147,2.78e-06,0.595,0.841,4,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
134,the beatles,revolution,0.407,0.834,6,0.208,0.0734,0.00021,0.241,0.71,4,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
135,bob marley,three little birds,0.814,0.482,9,0.0588,0.0111,1.57e-06,0.0476,0.615,4,['reggae']
136,steely dan,gaucho,0.750999999999999,0.387,5,0.0431,0.579,3.39e-05,0.0827,0.59,4,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'yacht rock']"
137,bamse,bamse,0.657999999999999,0.361,1,0.952,0.925,0.0,0.168999999999999,0.509,4,"['barnmusik', 'barnsagor']"
138,mord fustang,the electric dream,0.873,0.535,7,0.0444,1.27e-05,0.917,0.0588,0.153,4,"['complextro', 'edm', 'electro house']"
139,lady gaga,you and i,0.518,0.709,2,0.0476,0.075,0.0,0.0935,0.514,4,"['dance pop', 'pop']"
140,stephen c foster,gentle annie,0.257,0.0992,4,0.0469,0.987,0.0154,0.186,0.322,4,['american romanticism']
141,les friction,what you need,0.305,0.568,5,0.0363,0.0775,1.39e-05,0.112,0.16,4,['epicore']
142,elmer bernstein,the magnificent seven theme,0.231,0.568,10,0.0447,0.882,0.931,0.0594,0.566,4,"['classic soundtrack', 'scorecore', 'soundtrack', 'theme']"
143,the quarrymen,in spite of all the danger,0.44,0.329,4,0.0518,0.991,0.0,0.333,0.192,4,['skiffle']
144,billy joel,the longest time,0.637,0.333,3,0.0262,0.181,0.0,0.147,0.588,4,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
145,josh groban,o holy night,0.194,0.343,11,0.0307,0.834,0.000781,0.0934,0.0745,4,"['adult standards', 'operatic pop']"
146,bent van looy,flowers and balloons,0.498,0.333,10,0.031,0.748,0.00326,0.0823,0.596,4,['belgian pop']
147,biffy clyro,god and satan,0.726,0.542,7,0.03,0.327,0.0,0.146,0.305,4,"['modern rock', 'rock', 'scottish rock']"
148,george ezra,budapest,0.717,0.455,5,0.0276,0.0846,0.0,0.11,0.389,4,"['folk-pop', 'neo-singer-songwriter', 'pop']"
149,queen,seven seas of rhye,0.31,0.893,2,0.107,0.119,0.0176,0.248,0.427,4,"['glam rock', 'rock']"
150,elliott smith,a fond farewell,0.682,0.375,6,0.0431,0.459,0.0511,0.109,0.234,4,"['alternative rock', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'singer-songwriter', 'slow core']"
151,jonathan coulton,shop vac,0.603,0.835,4,0.0394,0.036,5.52e-06,0.183,0.629,4,"['antiviral pop', 'comic']"
152,john williams,the raider's march - indiana jones theme,0.426,0.159,10,0.0534,0.975,0.915,0.147,0.174,4,['soundtrack']
153,jackson 5,rockin robin,0.467,0.927,10,0.116,0.0996,0.00119,0.294,0.748,4,"['adult standards', 'motown']"
154,hozier,cherry wine,0.415,0.11,1,0.0388,0.951,0.00236,0.0962,0.234,4,"['irish singer-songwriter', 'pop']"
155,brand new,at the bottom,0.502,0.948,2,0.0634,0.107,6.9e-06,0.0725,0.212,4,"['emo', 'pop punk', 'screamo']"
156,grouplove,shark attack,0.449,0.635,1,0.0397,0.000264,4.65e-05,0.332,0.273,4,"['indie pop', 'indie poptimism', 'indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp and holler']"
157,spongebob squarepants,campfire song song,0.56,0.537999999999999,2,0.255,0.644,0.0,0.159,0.807999999999999,1,"['cartoon', ""children's music""]"
158,bahamas,lost in the light,0.597,0.267,2,0.0309,0.792999999999999,0.0014,0.111,0.246,4,"['canadian indie', 'chamber pop', 'deep new americana', 'indie folk', 'indie pop', 'new americana', 'stomp and holler']"
159,weird al yankovic,the night santa went crazy,0.589,0.654,3,0.0329,0.193,0.0,0.0811,0.383,4,"['antiviral pop', 'comedy rock', 'comic', 'parody']"
160,james lord pierpont,jingle bells,0.381,0.508,0,0.0665,0.785999999999999,0.144,0.0365,0.636,4,[]
161,offenbach,can can,0.429,0.535,3,0.0379,0.815,0.93,0.0759,0.926,4,"['classical', 'french opera', 'late romantic era', 'operetta']"
162,david bowie,space oddity,0.299,0.443,0,0.0346,0.0748,0.000138,0.177,0.434,4,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'protopunk', 'rock']"
163,syd matters,obstacles,0.394,0.415,3,0.0338,0.242,0.909,0.134,0.143,4,['folktronica']
164,panic at the disco,that green gentleman,0.536,0.795999999999999,10,0.0333,0.103,0.0,0.177,0.397,4,"['baroque pop', 'emo', 'modern rock']"
